Project,Domain,Exis.,Exec.,Exis-Exec.,Prop.,Exis-Prop.,Exec-Prop.,All,Non-Arch.
Apache-TOMEE,web development,1.23%,19.16%,0.19%,0.27%,0.03%,0.78%,0.08%,78.27%
RedHat-ACM,devops and cloud,23.85%,5.03%,1.93%,1.03%,2.59%,0.00%,0.42%,65.15%
Apache-SM,soa and middlewares,1.94%,39.40%,0.46%,0.08%,0.17%,0.12%,0.02%,57.81%
Apache-CASSANDRA,data storage & processing,3.55%,3.43%,0.25%,1.89%,2.79%,0.61%,0.12%,87.38%
Spring-BATCH,data storage & processing,5.70%,3.89%,0.15%,0.15%,1.04%,0.04%,0.08%,88.95%
RedHat-TRACING,devops and cloud,4.99%,25.88%,1.59%,0.43%,1.06%,0.64%,0.27%,65.14%
Apache-AURORA,devops and cloud,6.29%,7.87%,0.71%,1.47%,1.47%,0.15%,0.05%,81.98%
RedHat-JBWS,soa and middlewares,4.51%,14.59%,0.41%,0.53%,0.48%,0.23%,0.10%,79.15%
Apache-AMBARI,data storage & processing,5.28%,3.34%,0.21%,0.34%,0.36%,0.11%,0.02%,90.35%
Jira-JRACLOUD,content management,4.36%,3.39%,0.23%,0.31%,0.39%,0.12%,0.03%,91.17%
Apache-BEAM,data storage & processing,3.53%,15.77%,1.04%,0.53%,0.46%,0.32%,0.08%,78.27%
Apache-TEZ,data storage & processing,6.97%,4.91%,0.13%,1.21%,1.35%,0.27%,0.02%,85.13%
RedHat-CRW,software development tools,1.89%,14.50%,0.42%,0.26%,0.23%,0.16%,0.00%,82.54%
Apache-MNG,software development tools,3.22%,7.50%,0.09%,0.35%,0.46%,0.16%,0.05%,88.18%
Apache-ZEPPELIN,data storage & processing,2.71%,11.45%,0.43%,0.51%,0.53%,0.31%,0.07%,84.01%
Apache-KYLIN,data storage & processing,2.67%,9.46%,0.58%,0.71%,0.40%,0.56%,0.11%,85.50%
Apache-SMX4,soa and middlewares,1.15%,35.01%,0.21%,0.10%,0.10%,0.16%,0.10%,63.15%
Apache-DELTASPIKE,web development,3.70%,8.22%,0.27%,0.14%,0.55%,0.14%,0.14%,86.84%
Spring-ROO,software development tools,4.54%,9.63%,0.53%,0.35%,0.53%,0.10%,0.10%,84.22%
RedHat-TEIIDDES,data storage & processing,8.07%,3.36%,0.23%,0.65%,0.65%,0.06%,0.03%,86.96%
Apache-AVRO,data storage & processing,2.05%,22.21%,1.86%,0.89%,0.43%,0.94%,0.22%,71.40%
Apache-SOLR,content management,4.83%,5.73%,0.50%,1.03%,1.09%,0.61%,0.11%,86.11%
Apache-PARQUET,data storage & processing,3.04%,17.66%,0.85%,0.94%,0.89%,0.76%,0.31%,75.55%
Apache-CAY,data storage & processing,5.74%,5.88%,1.18%,1.04%,1.25%,0.22%,0.22%,84.47%
Apache-FLUME,data storage & processing,5.01%,12.85%,0.87%,0.70%,0.90%,0.76%,0.15%,78.76%
Apache-CONNECTORS,content management,4.93%,11.30%,1.09%,0.46%,1.09%,0.34%,0.11%,80.67%
RedHat-UNDERTOW,web development,1.46%,5.83%,0.35%,0.60%,0.75%,0.80%,0.00%,90.20%
Jira-JSDCLOUD,content management,12.99%,1.62%,0.53%,0.37%,1.22%,0.05%,0.05%,83.18%
Jira-JSDSERVER,content management,10.39%,2.22%,0.28%,0.39%,0.79%,0.22%,0.05%,85.66%
Jira-SRCTREE,software development tools,2.86%,5.15%,0.05%,0.46%,0.24%,0.27%,0.00%,90.97%
Apache-PIG,data storage & processing,3.21%,5.40%,0.26%,1.16%,0.99%,0.19%,0.04%,88.76%
Apache-HOP,data storage & processing,4.36%,9.03%,0.29%,0.25%,0.32%,0.13%,0.06%,85.56%
RedHat-ERRAI,web development,4.89%,11.14%,0.72%,0.82%,1.36%,0.36%,0.00%,80.71%
RedHat-OADP,devops and cloud,5.99%,8.78%,0.70%,0.60%,0.70%,0.00%,0.30%,82.93%
Apache-WICKET,web development,2.46%,3.60%,0.17%,0.34%,0.33%,0.13%,0.04%,92.92%
Apache-ORC,data storage & processing,1.88%,22.92%,0.29%,0.65%,0.87%,0.22%,0.07%,73.10%
Apache-STRATOS,devops and cloud,11.49%,5.35%,1.08%,0.30%,1.20%,0.12%,0.06%,80.39%
RedHat-ODC,software development tools,18.62%,2.10%,1.10%,1.05%,1.15%,0.00%,0.05%,75.93%
JiraEcosystem-PL,software development tools,1.52%,4.71%,0.03%,0.17%,0.07%,0.07%,0.00%,93.42%
Apache-TAVERNA,data storage & processing,7.24%,9.69%,0.66%,0.56%,1.69%,0.19%,0.00%,79.96%
Apache-IGNITE,data storage & processing,7.43%,4.51%,0.64%,1.09%,1.76%,0.21%,0.06%,84.31%
RedHat-HAC,devops and cloud,8.60%,2.69%,0.43%,0.23%,0.20%,0.17%,0.00%,87.68%
Jira-BSERV,software development tools,5.21%,7.24%,0.33%,1.12%,1.01%,0.70%,0.12%,84.28%
Spring-DATACMNS,data storage & processing,3.65%,17.63%,0.34%,0.45%,0.39%,0.00%,0.00%,77.54%
Apache-FELIX,soa and middlewares,5.24%,6.50%,0.25%,0.75%,0.63%,0.15%,0.02%,86.46%
Apache-SENTRY,data storage & processing,7.64%,6.90%,0.04%,0.86%,1.33%,0.23%,0.08%,82.92%
RedHat-HAL,web development,5.92%,4.49%,0.06%,0.48%,0.12%,0.18%,0.00%,88.75%
Apache-MSHARED,software development tools,0.68%,33.22%,0.09%,0.17%,0.09%,0.43%,0.00%,65.33%
RedHat-ISPN,data storage & processing,4.64%,9.32%,0.28%,0.88%,1.60%,0.12%,0.12%,83.03%
Apache-TRINIDAD,web development,5.94%,3.83%,0.04%,0.78%,0.78%,0.12%,0.00%,88.52%
Apache-FOR,content management,3.04%,7.35%,0.32%,0.40%,0.32%,0.00%,0.00%,88.57%
Apache-ARIES,soa and middlewares,7.16%,10.54%,0.24%,0.57%,0.67%,0.00%,0.00%,80.82%
Apache-JCLOUDS,devops and cloud,3.33%,16.79%,1.54%,0.25%,0.37%,0.80%,0.31%,76.60%
Apache-GERONIMO,web development,3.48%,12.26%,0.65%,0.25%,0.43%,0.30%,0.06%,82.56%
RedHat-MODE,data storage & processing,9.51%,7.95%,1.04%,0.90%,2.01%,0.22%,0.15%,78.21%
Apache-HTTPCLIENT,soa and middlewares,2.11%,5.05%,0.14%,1.10%,1.06%,0.46%,0.09%,90.00%
Apache-HDDS,data storage & processing,7.95%,4.98%,0.32%,0.83%,1.09%,0.11%,0.10%,84.61%
Apache-TOMAHAWK,web development,2.79%,3.74%,0.42%,0.06%,0.18%,0.06%,0.00%,92.75%
RedHat-SWITCHYARD,soa and middlewares,7.86%,8.52%,0.56%,0.33%,0.90%,0.10%,0.03%,81.69%
Apache-FOP,content management,1.32%,3.69%,0.10%,0.26%,0.22%,0.10%,0.00%,94.32%
RedHat-RESTEASY,soa and middlewares,1.76%,18.86%,0.32%,0.16%,0.35%,0.45%,0.06%,78.04%
RedHat-WINDUP,software development tools,5.30%,11.75%,0.61%,0.49%,0.49%,0.17%,0.06%,81.13%
Apache-MRELEASE,software development tools,2.77%,5.72%,0.00%,0.00%,0.09%,0.00%,0.00%,91.41%
Jira-BAM,devops and cloud,6.06%,6.59%,0.23%,0.85%,1.11%,0.47%,0.03%,84.65%
Apache-OWB,web development,2.32%,8.93%,0.21%,0.49%,0.42%,0.07%,0.07%,87.48%
Apache-TOBAGO,web development,3.16%,7.00%,0.09%,0.23%,0.23%,0.23%,0.05%,89.03%
Apache-GOBBLIN,data storage & processing,5.30%,7.37%,0.67%,0.56%,0.95%,0.17%,0.06%,84.93%
RedHat-GITOPS,devops and cloud,11.70%,12.65%,2.95%,0.35%,1.21%,0.61%,0.26%,70.28%
JFrog-TCAP,devops and cloud,1.12%,2.24%,0.00%,0.09%,0.09%,0.00%,0.00%,96.45%
RedHat-JBSEAM,web development,4.33%,5.98%,0.42%,0.46%,0.79%,0.18%,0.02%,87.82%
Jira-I18N,software development tools,0.09%,5.49%,0.00%,0.00%,0.00%,0.00%,0.00%,94.42%
RedHat-CEQ,soa and middlewares,0.05%,9.88%,0.15%,0.00%,0.00%,0.05%,0.00%,89.87%
Apache-PIVOT,web development,7.20%,4.13%,0.19%,0.48%,1.06%,0.00%,0.00%,86.94%
Apache-BATIK,content management,0.59%,6.14%,0.07%,0.22%,0.07%,0.15%,0.00%,92.75%
Spring-IDE,software development tools,2.45%,6.64%,0.14%,0.22%,0.22%,0.00%,0.00%,90.33%
Apache-AMQ,soa and middlewares,4.64%,9.23%,0.18%,1.03%,1.30%,0.68%,0.08%,82.86%
RedHat-AF,software development tools,11.14%,6.90%,1.55%,0.22%,0.88%,0.22%,0.15%,78.95%
Jira-CRUC,software development tools,2.65%,4.51%,0.10%,0.43%,0.32%,0.88%,0.04%,91.05%
RedHat-THORN,web development,2.51%,14.39%,0.53%,0.32%,0.16%,0.08%,0.00%,82.00%
Apache-KARAF,devops and cloud,2.55%,30.77%,0.24%,0.27%,0.25%,0.27%,0.01%,65.64%
Jira-CONFCLOUD,content management,4.13%,2.23%,0.31%,0.31%,0.28%,0.09%,0.01%,92.65%
Apache-OODT,data storage & processing,10.66%,10.76%,2.79%,0.19%,1.25%,0.29%,0.19%,73.87%
Apache-AXIS2,soa and middlewares,3.43%,4.08%,0.44%,0.57%,0.47%,0.30%,0.02%,90.69%
Apache-HUDI,data storage & processing,5.12%,9.74%,0.89%,0.68%,1.06%,0.27%,0.07%,82.18%
Apache-GROOVY,software development tools,1.07%,7.99%,0.25%,0.22%,0.12%,0.11%,0.02%,90.21%
JiraEcosystem-AG,content management,2.09%,9.35%,0.13%,0.40%,0.13%,0.13%,0.00%,87.75%
RedHat-ENTMQMAAS,soa and middlewares,8.68%,5.14%,0.18%,0.35%,0.44%,0.35%,0.00%,84.85%
Apache-DRILL,data storage & processing,5.65%,4.84%,0.49%,0.98%,1.46%,0.25%,0.06%,86.27%
Apache-HDFS,data storage & processing,6.54%,1.40%,0.25%,1.49%,2.25%,0.21%,0.10%,87.76%
RedHat-JBDS,software development tools,1.75%,16.04%,0.21%,0.12%,0.09%,0.24%,0.02%,81.52%
RedHat-JBPAPP,web development,1.03%,13.55%,0.07%,0.15%,0.17%,0.25%,0.02%,84.76%
JiraEcosystem-PLUG,software development tools,6.01%,9.70%,0.52%,0.52%,0.77%,0.17%,0.00%,82.32%
Apache-NUTCH,web development,4.31%,12.15%,0.34%,0.54%,0.98%,0.37%,0.20%,81.12%
Apache-ACCUMULO,data storage & processing,3.58%,4.72%,0.15%,1.26%,2.00%,0.23%,0.08%,87.97%
Apache-COCOON,web development,4.23%,5.66%,0.30%,0.38%,0.55%,0.08%,0.08%,88.72%
RedHat-SB,devops and cloud,3.48%,26.97%,0.76%,0.08%,0.38%,0.53%,0.00%,67.80%
Apache-JS2,web development,8.41%,8.78%,1.18%,0.96%,2.07%,0.44%,0.30%,77.86%
Spring-SWF,web development,6.77%,7.19%,0.66%,0.36%,0.48%,0.12%,0.06%,84.35%
RedHat-JBESB,soa and middlewares,5.53%,6.79%,0.41%,0.54%,1.00%,0.10%,0.03%,85.60%
Apache-MRM,software development tools,3.57%,7.09%,0.35%,1.04%,0.50%,0.40%,0.00%,87.05%
RedHat-JBIDE,software development tools,2.28%,13.81%,0.20%,0.19%,0.09%,0.04%,0.01%,83.38%
RedHat-JBTM,soa and middlewares,3.93%,12.79%,0.49%,0.74%,0.71%,0.25%,0.22%,80.89%
RedHat-JWS,web development,0.77%,20.44%,0.19%,0.29%,0.00%,1.44%,0.00%,76.87%
Apache-ROL,content management,3.32%,6.32%,0.37%,0.61%,0.42%,0.09%,0.05%,88.82%
RedHat-JBAS,web development,2.99%,13.08%,0.18%,0.42%,0.60%,0.07%,0.10%,82.57%
JFrog-RTFACT,devops and cloud,5.55%,4.56%,0.44%,1.04%,1.01%,0.23%,0.04%,87.15%
Apache-IOTDB,data storage & processing,5.71%,4.02%,0.52%,1.08%,1.65%,0.25%,0.16%,86.61%
Jira-BCLOUD,software development tools,2.83%,3.68%,0.09%,0.44%,0.36%,0.13%,0.02%,92.45%
Apache-TAP5,web development,5.97%,6.01%,0.40%,0.58%,0.76%,0.15%,0.15%,85.98%
Jira-JRASERVER,content management,3.61%,4.44%,0.20%,0.49%,0.49%,0.42%,0.03%,90.32%
