Project,Domain,First Quantile,Mean,Third Quantile,Standard Deviation,Total Issue Count
Apache-TOMEE,web development,0.00,5.00,25.00,102.38,3737
RedHat-ACM,devops and cloud,30.00,77.00,152.00,141.95,2126
Apache-SM,soa and middlewares,0.00,0.00,18.00,220.66,4804
Apache-CASSANDRA,data storage & processing,20.00,42.00,88.00,768.36,18166
Spring-BATCH,data storage & processing,13.00,27.50,59.00,69.17,2598
RedHat-TRACING,devops and cloud,2.00,7.00,23.00,38.47,1882
Apache-AURORA,devops and cloud,13.00,26.00,52.00,214.44,1970
RedHat-JBWS,soa and middlewares,3.00,19.00,48.00,121.81,3948
Apache-AMBARI,data storage & processing,9.00,22.00,48.00,372.29,25566
Jira-JRACLOUD,content management,34.00,53.00,82.00,100.73,29658
Apache-BEAM,data storage & processing,9.00,22.00,50.00,356.41,14551
Apache-TEZ,data storage & processing,4.00,17.00,37.00,175.07,4460
RedHat-CRW,software development tools,19.00,41.00,86.00,186.04,3070
Apache-MNG,software development tools,18.00,40.00,81.00,142.85,6362
Apache-ZEPPELIN,data storage & processing,9.00,22.00,52.00,262.81,5878
Apache-KYLIN,data storage & processing,9.00,23.00,49.00,506.83,5316
Apache-SMX4,soa and middlewares,0.00,7.00,23.00,108.86,1905
Apache-DELTASPIKE,web development,4.00,17.00,41.00,81.29,1459
Spring-ROO,software development tools,15.00,33.00,66.00,144.40,3987
RedHat-TEIIDDES,data storage & processing,18.00,31.00,53.00,92.52,3099
Apache-AVRO,data storage & processing,14.00,32.00,68.00,85.41,3706
Apache-SOLR,content management,18.00,37.00,72.00,165.20,16520
Apache-PARQUET,data storage & processing,7.00,19.00,44.00,81.60,2237
Apache-CAY,data storage & processing,18.00,34.00,64.00,294.82,2789
Apache-FLUME,data storage & processing,9.00,21.00,49.00,118.23,3433
Apache-CONNECTORS,content management,12.00,24.00,52.00,207.09,1743
RedHat-UNDERTOW,web development,10.00,33.00,71.00,152.30,1989
Jira-JSDCLOUD,content management,36.00,58.00,87.00,64.12,8186
Jira-JSDSERVER,content management,38.00,62.00,104.00,81.64,8226
Jira-SRCTREE,software development tools,18.00,32.00,53.00,402.97,5491
Apache-PIG,data storage & processing,16.00,34.00,70.00,101.78,5356
Apache-HOP,data storage & processing,1.00,12.00,27.00,63.07,3145
RedHat-ERRAI,web development,12.00,28.00,56.00,179.94,1104
RedHat-OADP,devops and cloud,7.00,27.00,81.75,186.75,1002
Apache-WICKET,web development,19.00,37.00,68.00,70.41,7020
Apache-ORC,data storage & processing,0.00,13.00,32.00,57.84,1383
Apache-STRATOS,devops and cloud,8.00,18.00,38.00,113.25,1662
RedHat-ODC,software development tools,11.00,49.00,82.00,51.41,1998
JiraEcosystem-PL,software development tools,6.00,22.00,42.00,146.47,2889
Apache-TAVERNA,data storage & processing,10.00,18.00,40.00,105.20,1063
Apache-IGNITE,data storage & processing,12.00,25.00,54.00,542.26,18925
RedHat-HAC,devops and cloud,12.00,25.00,53.00,47.92,3012
Jira-BSERV,software development tools,24.00,43.00,79.00,130.68,8430
Spring-DATACMNS,data storage & processing,0.00,21.00,50.00,65.31,1781
Apache-FELIX,soa and middlewares,15.00,31.00,59.00,113.35,6493
Apache-SENTRY,data storage & processing,7.00,17.00,36.00,76.09,2564
RedHat-HAL,web development,4.00,15.00,33.00,56.06,1671
Apache-MSHARED,software development tools,0.00,10.00,30.00,42.64,1168
RedHat-ISPN,data storage & processing,9.00,22.00,49.00,139.31,13628
Apache-TRINIDAD,web development,20.00,37.00,67.00,74.11,2561
Apache-FOR,content management,12.00,22.00,42.00,65.87,1251
Apache-ARIES,soa and middlewares,10.00,26.00,59.00,171.50,2096
Apache-JCLOUDS,devops and cloud,13.00,30.00,66.00,280.05,1620
Apache-GERONIMO,web development,12.00,27.00,58.00,128.07,6744
RedHat-MODE,data storage & processing,17.00,33.00,64.00,95.65,2680
Apache-HTTPCLIENT,soa and middlewares,24.00,46.00,90.00,171.77,2179
Apache-HDDS,data storage & processing,11.00,24.00,50.00,151.33,8059
Apache-TOMAHAWK,web development,16.50,34.00,68.00,82.96,1683
RedHat-SWITCHYARD,soa and middlewares,11.00,22.00,45.00,258.37,3015
Apache-FOP,content management,20.00,41.00,78.00,621.74,3117
RedHat-RESTEASY,soa and middlewares,8.00,29.00,63.00,349.07,3133
RedHat-WINDUP,software development tools,8.00,19.00,38.00,191.29,3455
Apache-MRELEASE,software development tools,22.00,47.00,85.00,216.89,1083
Jira-BAM,devops and cloud,15.00,35.00,73.00,125.45,15104
Apache-OWB,web development,6.00,15.00,34.00,278.61,1422
Apache-TOBAGO,web development,0.00,11.00,23.00,34.91,2187
Apache-GOBBLIN,data storage & processing,0.00,14.00,31.00,154.81,1792
RedHat-GITOPS,devops and cloud,20.00,44.00,83.00,80.07,1154
JFrog-TCAP,devops and cloud,5.00,5.00,5.00,26.40,1070
RedHat-JBSEAM,web development,12.00,28.00,63.00,162.99,5032
Jira-I18N,software development tools,13.00,28.00,58.00,76.91,1057
RedHat-CEQ,soa and middlewares,3.00,3.00,9.00,91.12,1944
Apache-PIVOT,web development,13.00,29.00,50.00,50.37,1041
Apache-BATIK,content management,20.00,45.00,87.50,706.82,1351
Spring-IDE,software development tools,15.00,30.00,56.00,269.95,1386
Apache-AMQ,soa and middlewares,17.00,41.00,89.00,4168.50,7843
RedHat-AF,software development tools,8.00,18.00,37.00,232.36,2712
Jira-CRUC,software development tools,7.00,19.00,42.00,60.85,6784
RedHat-THORN,web development,8.00,23.00,53.00,155.20,2467
Apache-KARAF,devops and cloud,0.00,17.00,43.00,92.90,7482
Jira-CONFCLOUD,content management,32.00,51.00,80.00,120.32,26847
Apache-OODT,data storage & processing,13.00,24.00,49.00,129.41,1041
Apache-AXIS2,soa and middlewares,23.00,49.00,95.00,562.67,5950
Apache-HUDI,data storage & processing,0.00,14.00,40.00,97.60,5863
Apache-GROOVY,software development tools,23.00,48.00,84.00,79.67,10716
JiraEcosystem-AG,content management,3.00,18.00,39.00,195.75,1486
RedHat-ENTMQMAAS,soa and middlewares,4.00,5.00,13.00,357.86,2257
Apache-DRILL,data storage & processing,21.00,51.00,114.00,324.51,8367
Apache-HDFS,data storage & processing,14.00,27.00,54.00,167.50,16105
RedHat-JBDS,software development tools,9.00,20.00,43.00,553.18,4226
RedHat-JBPAPP,web development,8.00,21.00,50.00,110.86,5933
JiraEcosystem-PLUG,software development tools,12.00,26.00,51.00,101.54,1165
Apache-NUTCH,web development,16.00,29.00,56.00,80.75,2971
Apache-ACCUMULO,data storage & processing,15.00,28.00,52.00,77.60,4745
Apache-COCOON,web development,18.00,37.00,72.00,183.20,2366
RedHat-SB,devops and cloud,0.00,8.00,25.00,75.20,1320
Apache-JS2,web development,15.00,32.00,67.00,110.94,1355
Spring-SWF,web development,16.00,35.50,68.00,101.63,1668
RedHat-JBESB,soa and middlewares,5.00,16.00,39.00,86.57,3890
Apache-MRM,software development tools,9.00,22.00,48.00,232.45,2016
RedHat-JBIDE,software development tools,11.00,28.00,62.00,284.95,27807
RedHat-JBTM,soa and middlewares,8.00,21.00,51.00,1094.68,3668
RedHat-JWS,web development,9.00,22.00,51.00,103.40,1042
Apache-ROL,content management,13.00,26.00,54.00,322.15,2137
RedHat-JBAS,web development,12.00,32.00,73.00,257.51,8394
JFrog-RTFACT,devops and cloud,16.00,40.00,85.00,221.32,16298
Apache-IOTDB,data storage & processing,5.00,17.00,39.00,208.16,5625
Jira-BCLOUD,software development tools,16.00,28.00,49.00,62.94,21282
Apache-TAP5,web development,16.00,32.00,61.00,408.59,2746
Jira-JRASERVER,content management,27.00,46.00,77.00,106.42,48731
Apache-DIRMINA,soa and middlewares,18.00,36.00,83.00,105.66,1128
RedHat-OCPPLAN,devops and cloud,13.00,34.00,104.00,98.42,1355
Apache-FLINK,data storage & processing,12.00,28.00,59.00,524.21,31316
Apache-METRON,data storage & processing,11.00,23.00,51.00,134.73,2349
Spring-DATAMONGO,data storage & processing,0.00,27.00,67.75,78.23,2590
Apache-LOG4J2,software development tools,20.00,45.00,91.00,222.24,3632
Apache-BOOKKEEPER,data storage & processing,10.00,22.00,41.00,59.74,1095
Apache-STR,web development,24.00,46.00,88.00,137.10,3009
Apache-YARN,data storage & processing,13.00,26.00,52.00,98.91,11162
RedHat-MON,devops and cloud,6.00,25.00,60.00,240.18,1369
Spring-SPR,web development,26.00,50.00,92.00,105.31,17413
RedHat-JBEAP,web development,11.00,33.00,73.00,184.86,18048
Apache-PHOENIX,data storage & processing,12.00,29.00,65.00,144.38,6866
Apache-JCR,content management,11.00,28.00,56.00,86.58,4782
Apache-FALCON,data storage & processing,6.00,17.00,41.00,74.13,2343
RedHat-WELD,web development,6.00,23.00,56.00,88.22,2615
Apache-BIGTOP,data storage & processing,7.00,17.00,39.00,74.45,3899
Apache-SSHD,soa and middlewares,14.00,33.00,68.00,135.81,1320
RedHat-OSSM,devops and cloud,11.00,30.00,62.00,73.73,2240
JiraEcosystem-PLE,software development tools,1.50,14.00,33.50,54.25,1499
Apache-SCB,devops and cloud,0.00,2.00,16.00,83.37,2747
Apache-SLIDER,data storage & processing,12.00,22.00,42.00,80.09,1265
RedHat-RFE,devops and cloud,59.00,85.00,124.00,87.65,1617
Jira-OPSGENIE,devops and cloud,31.00,46.00,73.00,35.86,1284
RedHat-QUARKUS,devops and cloud,6.00,20.00,47.00,130.14,1587
RedHat-ENTESB,soa and middlewares,11.00,28.00,66.00,933.99,14750
RedHat-FUSETOOLS,software development tools,7.00,19.00,42.00,207.56,3431
Apache-RAVE,web development,0.00,9.00,20.00,43.54,1286
Apache-HIVE,data storage & processing,11.00,26.00,59.00,242.04,27005
Apache-KNOX,soa and middlewares,7.00,19.00,40.00,118.03,2879
Apache-NETBEANS,software development tools,21.00,42.00,81.00,3611.30,6306
Apache-SLING,web development,12.00,23.00,45.75,59.57,11766
Spring-STS,software development tools,15.00,32.00,61.00,973.72,4407
Apache-WW,web development,13.00,33.00,68.00,251.35,5222
Jira-CLOUD,devops and cloud,4.00,17.00,39.00,98.90,7831
Apache-AIRAVATA,soa and middlewares,9.00,21.00,40.00,159.06,3675
