Project,First Quantile,Mean,Third Quantile,Standard Deviation,Total Issue Count
Apache-TOMEE,0.00,33.33,25.00,102.38,3737
RedHat-ACM,30.00,110.89,152.00,141.95,2126
Apache-SM,0.00,25.77,18.00,220.66,4804
Apache-CASSANDRA,20.00,92.42,88.00,768.36,18166
Spring-BATCH,13.00,48.75,59.00,69.17,2598
RedHat-TRACING,2.00,20.02,23.00,38.47,1882
Apache-AURORA,13.00,58.25,52.00,214.44,1970
RedHat-JBWS,3.00,44.02,48.00,121.81,3948
Apache-AMBARI,9.00,60.52,48.00,372.29,25566
Jira-JRACLOUD,34.00,68.69,82.00,100.73,29658
Apache-BEAM,9.00,85.23,50.00,356.41,14551
Apache-TEZ,4.00,39.47,37.00,175.07,4460
RedHat-CRW,19.00,86.10,86.00,186.04,3070
Apache-MNG,18.00,71.35,81.00,142.85,6362
Apache-ZEPPELIN,9.00,55.46,52.00,262.81,5878
Apache-KYLIN,9.00,62.91,49.00,506.83,5316
Apache-SMX4,0.00,28.07,23.00,108.86,1905
Apache-DELTASPIKE,4.00,37.42,41.00,81.29,1459
Spring-ROO,15.00,58.18,66.00,144.40,3987
RedHat-TEIIDDES,18.00,45.42,53.00,92.52,3099
Apache-AVRO,14.00,55.69,68.00,85.41,3706
Apache-SOLR,18.00,62.96,72.00,165.20,16520
Apache-PARQUET,7.00,40.29,44.00,81.60,2237
Apache-CAY,18.00,59.62,64.00,294.82,2789
Apache-FLUME,9.00,46.22,49.00,118.23,3433
Apache-CONNECTORS,12.00,56.41,52.00,207.09,1743
RedHat-UNDERTOW,10.00,60.67,71.00,152.30,1989
Jira-JSDCLOUD,36.00,69.59,87.00,64.12,8186
Jira-JSDSERVER,38.00,83.80,104.00,81.64,8226
Jira-SRCTREE,18.00,80.52,53.00,402.97,5491
Apache-PIG,16.00,58.72,70.00,101.78,5356
Apache-HOP,1.00,26.85,27.00,63.07,3145
RedHat-ERRAI,12.00,67.03,56.00,179.94,1104
RedHat-OADP,7.00,85.70,81.75,186.75,1002
Apache-WICKET,19.00,54.72,68.00,70.41,7020
Apache-ORC,0.00,29.96,32.00,57.84,1383
Apache-STRATOS,8.00,45.76,38.00,113.25,1662
RedHat-ODC,11.00,54.98,82.00,51.41,1998
JiraEcosystem-PL,6.00,35.89,42.00,146.47,2889
Apache-TAVERNA,10.00,41.82,40.00,105.20,1063
Apache-IGNITE,12.00,70.03,54.00,542.26,18925
RedHat-HAC,12.00,41.40,53.00,47.92,3012
Jira-BSERV,24.00,66.89,79.00,130.68,8430
Spring-DATACMNS,0.00,40.29,50.00,65.31,1781
Apache-FELIX,15.00,54.29,59.00,113.35,6493
Apache-SENTRY,7.00,33.45,36.00,76.09,2564
RedHat-HAL,4.00,26.76,33.00,56.06,1671
