Project,Domain,First Quantile,Mean,Third Quantile,Standard Deviation,Total Issue Count
Apache-TOMEE,web development,0.00,0.00,37.00,579.20,3055
RedHat-ACM,devops and cloud,7.00,23.50,65.00,80.50,950
Apache-SM,soa and middlewares,0.00,1.00,8.00,482.75,4684
Apache-CASSANDRA,data storage & processing,1.00,11.00,73.00,274.12,15646
Spring-BATCH,data storage & processing,0.00,7.00,73.00,462.11,2239
RedHat-TRACING,devops and cloud,5.00,20.00,81.50,194.74,1803
Apache-AURORA,devops and cloud,2.00,21.50,131.75,183.20,1578
RedHat-JBWS,soa and middlewares,2.00,33.00,129.00,436.05,3906
Apache-AMBARI,data storage & processing,0.00,0.00,4.00,87.87,23428
Jira-JRACLOUD,content management,77.00,757.00,1662.00,1026.39,23846
Apache-BEAM,data storage & processing,5.00,34.00,167.75,300.73,10242
Apache-TEZ,data storage & processing,0.00,5.00,35.00,269.32,3344
RedHat-CRW,software development tools,3.00,26.00,96.00,167.11,2712
Apache-MNG,software development tools,1.00,41.00,471.00,721.94,5865
Apache-ZEPPELIN,data storage & processing,2.00,8.00,33.00,139.34,3541
Apache-KYLIN,data storage & processing,2.00,19.00,96.75,337.76,4562
Apache-SMX4,soa and middlewares,0.00,0.00,4.00,122.94,1758
Apache-DELTASPIKE,web development,0.00,4.00,49.00,364.81,1387
Spring-ROO,software development tools,0.00,1.00,18.00,230.04,3452
RedHat-TEIIDDES,data storage & processing,3.00,43.00,427.50,735.86,3099
Apache-AVRO,data storage & processing,1.00,10.00,78.00,473.59,2766
Apache-SOLR,content management,1.00,20.00,188.75,622.69,12518
Apache-PARQUET,data storage & processing,1.00,11.00,75.75,252.18,1666
Apache-CAY,data storage & processing,0.00,5.00,59.00,429.62,2341
Apache-FLUME,data storage & processing,2.00,21.00,327.25,680.17,2484
Apache-CONNECTORS,content management,0.00,0.00,8.00,190.30,1622
RedHat-UNDERTOW,web development,0.00,4.00,35.00,245.43,1769
Jira-JSDCLOUD,content management,30.00,373.00,1072.50,731.41,4923
Jira-JSDSERVER,content management,37.00,372.00,1469.00,837.37,4817
Jira-SRCTREE,software development tools,0.00,11.00,154.00,591.66,2672
Apache-PIG,data storage & processing,2.00,12.00,74.00,238.69,4329
Apache-HOP,data storage & processing,0.00,4.00,55.00,178.57,2827
RedHat-ERRAI,web development,0.00,8.00,75.00,189.33,962
RedHat-OADP,devops and cloud,9.00,33.00,100.25,85.39,668
Apache-WICKET,web development,0.00,3.00,31.00,255.20,6875
Apache-ORC,data storage & processing,0.00,2.00,15.00,179.43,1138
Apache-STRATOS,devops and cloud,0.00,7.00,65.00,129.40,1379
RedHat-ODC,software development tools,9.00,31.00,91.00,82.61,1842
JiraEcosystem-PL,software development tools,5.00,27.00,181.00,499.25,2889
Apache-TAVERNA,data storage & processing,5.00,61.00,251.00,539.41,189
Apache-IGNITE,data storage & processing,2.00,14.00,69.00,231.38,14154
RedHat-HAC,devops and cloud,6.00,22.00,63.00,104.99,1387
Jira-BSERV,software development tools,1.00,11.00,62.00,390.51,5918
Spring-DATACMNS,data storage & processing,0.00,3.00,34.00,322.17,1574
Apache-FELIX,soa and middlewares,0.00,3.00,55.00,370.98,5716
Apache-SENTRY,data storage & processing,1.50,11.00,55.00,143.51,1951
RedHat-HAL,web development,1.00,23.00,162.25,378.21,1582
Apache-MSHARED,software development tools,0.00,1.00,65.50,609.35,1115
RedHat-ISPN,data storage & processing,1.00,10.00,75.00,455.30,11748
Apache-TRINIDAD,web development,0.00,5.00,41.00,260.04,1859
Apache-FOR,content management,1.00,16.00,145.00,496.29,842
Apache-ARIES,soa and middlewares,0.00,4.00,58.00,383.36,1784
Apache-JCLOUDS,devops and cloud,1.00,11.00,115.00,356.31,1143
Apache-GERONIMO,web development,0.00,11.00,91.00,227.27,5810
RedHat-MODE,data storage & processing,0.00,6.00,49.50,264.57,2631
Apache-HTTPCLIENT,soa and middlewares,0.00,4.00,588.00,590.07,2125
Apache-HDDS,data storage & processing,2.00,10.00,40.50,168.51,6407
Apache-TOMAHAWK,web development,0.00,21.00,179.00,345.70,1197
RedHat-SWITCHYARD,soa and middlewares,2.00,12.00,52.00,163.30,2528
Apache-FOP,content management,139.75,1870.50,3260.00,1469.64,2556
RedHat-RESTEASY,soa and middlewares,2.00,26.00,160.00,537.21,2860
RedHat-WINDUP,software development tools,5.00,28.00,126.00,284.72,2804
Apache-MRELEASE,software development tools,14.00,335.00,1471.50,1026.09,979
Jira-BAM,devops and cloud,8.25,78.00,1186.25,1143.97,12702
Apache-OWB,web development,0.00,2.00,51.50,210.84,1383
Apache-TOBAGO,web development,0.00,10.00,117.00,953.99,2127
Apache-GOBBLIN,data storage & processing,0.00,5.00,47.00,111.06,1081
RedHat-GITOPS,devops and cloud,14.00,39.00,125.00,125.89,886
JFrog-TCAP,devops and cloud,5.75,29.00,96.75,229.05,136
RedHat-JBSEAM,web development,0.00,10.00,96.00,478.69,4134
Jira-I18N,software development tools,20.00,91.00,252.00,371.74,583
RedHat-CEQ,soa and middlewares,0.00,1.00,1.00,53.18,593
Apache-PIVOT,web development,0.00,5.00,60.75,302.08,846
Apache-BATIK,content management,27.25,508.00,1013.75,536.07,922
Spring-IDE,software development tools,0.00,16.00,302.25,932.46,1386
Apache-AMQ,soa and middlewares,0.00,13.00,240.75,805.35,7378
RedHat-AF,software development tools,8.00,36.00,106.00,353.72,1968
Jira-CRUC,software development tools,8.00,39.00,229.00,807.19,5968
RedHat-THORN,web development,2.00,22.00,154.00,241.57,2467
Apache-KARAF,devops and cloud,0.00,4.00,44.00,299.74,6832
Jira-CONFCLOUD,content management,30.00,625.00,1247.00,827.40,21953
Apache-OODT,data storage & processing,0.00,34.00,631.00,636.51,976
Apache-AXIS2,soa and middlewares,1.00,15.00,130.25,412.75,5248
Apache-HUDI,data storage & processing,5.00,27.00,89.00,158.70,3777
Apache-GROOVY,software development tools,0.00,11.00,198.50,619.02,9515
JiraEcosystem-AG,content management,11.00,42.00,1640.50,1123.48,1466
RedHat-ENTMQMAAS,soa and middlewares,6.00,27.00,112.50,219.31,1891
Apache-DRILL,data storage & processing,4.00,20.00,83.00,300.68,5702
Apache-HDFS,data storage & processing,1.00,9.00,67.00,403.63,12697
RedHat-JBDS,software development tools,3.00,23.00,104.00,611.27,4089
RedHat-JBPAPP,web development,2.00,26.00,168.00,670.17,5931
JiraEcosystem-PLUG,software development tools,1.00,19.00,187.25,516.64,1110
Apache-NUTCH,web development,4.00,41.00,423.00,735.05,2696
Apache-ACCUMULO,data storage & processing,0.00,17.00,295.75,832.49,4586
Apache-COCOON,web development,194.00,685.00,1096.00,499.44,1955
RedHat-SB,devops and cloud,1.00,9.00,57.25,109.91,1212
Apache-JS2,web development,1.00,22.00,160.00,311.74,1253
Spring-SWF,web development,2.00,21.00,105.00,389.50,1209
RedHat-JBESB,soa and middlewares,0.00,4.00,35.00,381.19,3453
Apache-MRM,software development tools,1.00,33.00,262.00,695.81,1801
RedHat-JBIDE,software development tools,0.00,10.00,61.00,529.76,26523
RedHat-JBTM,soa and middlewares,2.00,18.00,124.00,418.38,3362
RedHat-JWS,web development,7.00,52.50,208.50,244.82,964
Apache-ROL,content management,6.00,61.00,833.00,957.93,2069
RedHat-JBAS,web development,2.00,63.00,435.75,486.57,8094
JFrog-RTFACT,devops and cloud,12.00,141.00,2001.00,1180.45,11646
Apache-IOTDB,data storage & processing,1.00,5.00,23.00,65.00,4566
Jira-BCLOUD,software development tools,6.00,251.00,853.00,722.07,19334
Apache-TAP5,web development,2.00,70.50,583.25,606.32,2562
Jira-JRASERVER,content management,6.00,166.00,1093.00,900.96,39714
Apache-DIRMINA,soa and middlewares,0.00,19.00,283.00,865.87,1087
RedHat-OCPPLAN,devops and cloud,6.00,13.00,415.75,265.66,1144
Apache-FLINK,data storage & processing,2.00,12.00,71.00,277.90,26240
Apache-METRON,data storage & processing,6.00,24.00,66.00,111.04,1661
Spring-DATAMONGO,data storage & processing,1.00,11.00,62.50,518.04,2215
Apache-LOG4J2,software development tools,0.00,4.00,66.50,427.79,2735
Apache-BOOKKEEPER,data storage & processing,4.00,27.00,155.00,546.10,1022
Apache-STR,web development,1007.00,1482.00,1790.00,633.15,2765
Apache-YARN,data storage & processing,3.00,18.00,106.00,277.21,8126
RedHat-MON,devops and cloud,16.00,49.00,118.00,121.83,937
Spring-SPR,web development,0.00,9.00,142.00,716.61,15938
RedHat-JBEAP,web development,5.00,34.00,122.00,306.43,17354
Apache-PHOENIX,data storage & processing,1.00,6.00,52.00,220.46,5269
Apache-JCR,content management,0.00,2.00,24.00,337.37,4184
Apache-FALCON,data storage & processing,1.00,8.00,44.00,114.47,1805
RedHat-WELD,web development,3.00,13.00,70.00,284.00,2521
Apache-BIGTOP,data storage & processing,0.00,5.00,38.00,213.81,3236
Apache-SSHD,soa and middlewares,0.00,4.00,35.00,263.68,1234
RedHat-OSSM,devops and cloud,9.00,40.00,149.00,202.39,1421
JiraEcosystem-PLE,software development tools,3.00,25.00,204.50,504.08,1499
Apache-SCB,devops and cloud,1.00,6.00,29.00,166.42,2266
Apache-SLIDER,data storage & processing,0.00,4.00,26.50,74.89,963
RedHat-RFE,devops and cloud,43.00,167.50,406.25,226.80,964
Jira-OPSGENIE,devops and cloud,2.50,19.00,71.50,83.71,203
RedHat-QUARKUS,devops and cloud,0.00,21.00,63.00,80.18,1454
RedHat-ENTESB,soa and middlewares,4.00,26.00,111.00,229.16,14598
RedHat-FUSETOOLS,software development tools,3.00,22.00,109.00,301.69,2875
Apache-RAVE,web development,0.00,6.50,28.00,64.01,864
Apache-HIVE,data storage & processing,2.00,8.00,40.00,243.46,19407
Apache-KNOX,soa and middlewares,0.00,3.00,29.00,273.04,2561
Apache-NETBEANS,software development tools,5.00,40.00,214.00,249.47,2941
Apache-SLING,web development,0.00,0.00,15.00,307.72,10628
Spring-STS,software development tools,2.00,25.00,320.00,675.07,4407
Apache-WW,web development,1.00,21.00,143.00,1251.52,5090
Jira-CLOUD,devops and cloud,7.00,99.00,747.00,708.12,7297
Apache-AIRAVATA,soa and middlewares,2.00,24.00,162.00,253.79,2885
Apache-CALCITE,data storage & processing,1.00,7.00,37.00,232.57,3961
Apache-XALANJ,content management,456.00,854.00,1094.00,421.22,1960
Apache-CLOUDSTACK,devops and cloud,1.00,12.00,78.00,292.25,8339
Spring-DATAREDIS,data storage & processing,1.00,13.00,61.75,312.30,1146
RedHat-APIMAN,soa and middlewares,0.00,7.00,36.00,107.65,917
Apache-DIRSERVER,soa and middlewares,1.00,26.00,211.00,834.41,1913
JiraEcosystem-ACJIRA,software development tools,6.00,48.50,302.25,490.72,1380
Apache-GEODE,data storage & processing,3.00,14.00,83.00,230.51,8632
Apache-JUDDI,soa and middlewares,0.00,7.00,60.00,300.05,993
JiraEcosystem-AMPS,software development tools,4.00,45.00,575.25,493.74,1412
RedHat-KATA,devops and cloud,13.00,36.00,101.50,107.88,739
RedHat-OPECO,devops and cloud,7.00,21.00,79.00,138.20,873
Apache-STORM,data storage & processing,3.00,12.00,71.00,193.49,2711
RedHat-EJBTHREE,soa and middlewares,0.00,9.00,71.00,369.76,1765
Apache-DIRSTUDIO,soa and middlewares,0.00,21.50,201.75,681.43,1088
JiraEcosystem-FRGE,software development tools,144.50,386.00,595.50,301.79,387
Apache-SYNAPSE,soa and middlewares,0.00,9.00,126.75,336.89,990
RedHat-SDN,devops and cloud,14.00,49.00,104.00,107.24,1207
Apache-OAK,content management,0.00,2.00,22.00,173.88,9205
RedHat-ENTMQBR,soa and middlewares,17.00,53.00,168.00,391.49,3809
Sonatype-NEXUS,devops and cloud,3.00,21.00,236.00,422.19,9805
RedHat-SRVKP,devops and cloud,9.00,38.00,103.75,126.51,986
Apache-UIMA,content management,0.00,7.00,76.00,697.71,6112
Apache-CONTINUUM,software development tools,1.00,25.00,186.00,369.45,2312
Spring-DATAES,data storage & processing,0.00,16.00,165.25,470.01,952
RedHat-HAWKULAR,devops and cloud,1.00,20.00,114.25,190.92,1244
Jira-CLOV,software development tools,9.00,71.00,1656.00,1217.63,1501
RedHat-JGRP,soa and middlewares,0.00,6.00,58.75,428.95,2514
Apache-LENS,data storage & processing,1.00,7.00,36.00,80.40,1085
JiraEcosystem-AUI,software development tools,6.00,60.00,589.50,533.85,4019
Apache-OPENEJB,soa and middlewares,0.00,23.00,223.00,457.35,1673
Apache-HBASE,data storage & processing,1.00,8.00,98.00,770.46,25192
RedHat-DBZ,data storage & processing,1.00,10.00,75.00,188.72,4806
RedHat-CLOUD,devops and cloud,1.00,15.00,73.00,225.74,1973
Spring-XD,data storage & processing,2.00,11.00,44.00,129.14,3046
Spring-DATAJPA,data storage & processing,0.00,13.00,105.00,501.21,1490
Apache-APEXMALHAR,data storage & processing,0.00,2.00,26.00,122.81,1697
RedHat-DEVELOPER,web development,4.00,20.00,88.00,151.68,5252
Apache-CXF,soa and middlewares,0.00,4.00,40.00,317.28,8256
Apache-ASTERIXDB,data storage & processing,12.00,216.00,838.00,479.78,2188
Apache-HADOOP,data storage & processing,2.00,14.00,100.00,463.55,13644
JiraEcosystem-UPM,devops and cloud,2.00,12.00,71.00,353.07,3714
JiraEcosystem-APL,software development tools,6.00,31.00,336.00,839.32,1206
Spring-DATAGRAPH,data storage & processing,1.00,19.00,126.75,567.08,1402
RedHat-CNV,devops and cloud,14.00,53.00,122.00,99.49,1397
Apache-TIKA,content management,0.00,4.00,59.25,353.18,2948
Sonatype-MVNCENTRAL,devops and cloud,0.00,0.00,3.00,755.71,1663
Apache-DERBY,data storage & processing,5.00,33.00,215.00,515.27,5827
Apache-ATLAS,data storage & processing,1.00,8.00,55.00,392.90,3808
Apache-RANGER,data storage & processing,1.00,6.00,25.00,187.79,3441
Apache-CMIS,content management,0.00,1.00,28.00,317.69,997
Apache-BEEHIVE,web development,0.00,3.00,30.00,77.57,1082
Jira-CONFSERVER,content management,9.00,278.00,1095.00,823.12,37844
Apache-SUREFIRE,software development tools,1.00,18.00,232.00,557.94,1837
Jira-FE,software development tools,7.00,46.00,553.50,890.20,4747
Apache-MYFACES,web development,0.00,6.00,73.00,766.62,4203
MongoDB-JAVA,data storage & processing,2.00,16.00,86.00,336.06,4195
Spring-INT,soa and middlewares,0.00,7.00,52.00,556.92,4357
Sonatype-OSSRH,devops and cloud,0.00,0.00,1.00,185.08,84700
Apache-ARTEMIS,soa and middlewares,2.00,17.00,67.00,278.76,3704
JiraEcosystem-AC,software development tools,2.00,44.00,167.00,352.63,1053
JFrog-HAP,devops and cloud,3.00,19.50,67.75,153.24,738
Apache-SHINDIG,web development,0.00,6.00,36.00,184.55,1752
Apache-REEF,data storage & processing,1.00,7.00,43.00,129.81,1606
Apache-HAMA,data storage & processing,0.00,8.00,61.50,199.57,867
Apache-TAJO,data storage & processing,1.00,6.00,37.00,137.05,1807
RedHat-WFLY,web development,2.00,13.00,85.00,360.98,13311
Apache-PDFBOX,content management,0.00,5.00,145.00,674.27,5154
Apache-XERCESJ,content management,4.00,348.00,687.25,444.22,1470
Apache-AXIS,soa and middlewares,25.00,298.00,520.50,473.90,1843
Apache-TUSCANY,soa and middlewares,0.00,9.00,74.00,190.27,3496
RedHat-ARQ,software development tools,0.00,9.00,103.50,296.16,1711
Spring-DATAREST,data storage & processing,0.00,6.00,41.00,174.94,862
Apache-IVY,software development tools,2.00,53.00,305.75,551.40,1222
RedHat-ENTMQST,soa and middlewares,13.00,41.00,115.25,232.78,2812
Spring-SWS,soa and middlewares,0.00,10.00,56.50,256.09,891
Apache-STANBOL,content management,0.00,6.00,78.00,309.54,1317
Apache-SQOOP,data storage & processing,1.00,7.00,35.50,143.65,2283
Apache-OLINGO,soa and middlewares,0.00,8.00,48.50,168.74,1271
RedHat-FORGE,software development tools,0.00,3.00,70.50,372.13,2327
Apache-OPENJPA,data storage & processing,1.00,16.00,117.00,397.09,2088
RedHat-AS7,web development,1.00,12.00,58.00,105.56,5427
RedHat-TEIID,data storage & processing,0.00,3.00,48.00,420.92,5683
Apache-TAPESTRY,web development,2.00,27.00,159.00,176.57,2325
Apache-EAGLE,data storage & processing,1.00,10.00,67.00,132.52,819
Apache-MAPREDUCE,data storage & processing,3.00,26.50,242.00,647.21,5426
Apache-JSPWIKI,content management,2.00,17.00,154.00,743.63,905
Apache-ZOOKEEPER,devops and cloud,4.00,26.00,149.00,491.75,2943
Apache-CAMEL,soa and middlewares,0.00,1.00,20.00,348.02,18579
RedHat-ENTMQ,soa and middlewares,6.00,27.00,125.00,343.90,1473
RedHat-RHCLOUD,devops and cloud,4.00,18.00,71.00,74.47,2988
Apache-LUCENE,content management,0.00,4.00,61.00,431.42,8709
