hierarchy,Independent,Child,Parent,Total
Apache-TOMEE,2866,835,36,3737
RedHat-ACM,1871,186,69,2126
Apache-SM,4649,109,46,4804
Apache-CASSANDRA,17327,696,143,18166
Spring-BATCH,2466,100,32,2598
RedHat-TRACING,1707,137,38,1882
Apache-AURORA,1938,24,8,1970
RedHat-JBWS,3464,369,115,3948
Apache-AMBARI,24809,695,62,25566
Jira-JRACLOUD,29189,424,45,29658
Apache-BEAM,11854,2249,448,14551
Apache-TEZ,3461,903,96,4460
RedHat-CRW,2969,71,30,3070
Apache-MNG,6213,108,41,6362
Apache-ZEPPELIN,5301,486,91,5878
Apache-KYLIN,4934,309,73,5316
Apache-SMX4,1817,61,27,1905
Apache-DELTASPIKE,1329,98,32,1459
Spring-ROO,3923,43,21,3987
RedHat-TEIIDDES,2978,88,33,3099
Apache-AVRO,3586,95,25,3706
Apache-SOLR,15247,1057,216,16520
Apache-PARQUET,2148,76,13,2237
Apache-CAY,2699,72,18,2789
Apache-FLUME,3176,213,44,3433
Apache-CONNECTORS,1722,17,4,1743
RedHat-UNDERTOW,1916,66,7,1989
Jira-JSDCLOUD,8152,33,1,8186
Jira-JSDSERVER,8226,0,0,8226
Jira-SRCTREE,5491,0,0,5491
Apache-PIG,4720,593,43,5356
Apache-HOP,2752,361,32,3145
RedHat-ERRAI,1100,2,2,1104
RedHat-OADP,591,318,93,1002
Apache-WICKET,6790,154,76,7020
Apache-ORC,1178,185,20,1383
Apache-STRATOS,1409,217,36,1662
RedHat-ODC,1297,508,193,1998
JiraEcosystem-PL,2842,39,8,2889
Apache-TAVERNA,953,89,21,1063
Apache-IGNITE,17093,1598,234,18925
RedHat-HAC,2012,918,82,3012
Jira-BSERV,8430,0,0,8430
Spring-DATACMNS,1773,7,1,1781
Apache-FELIX,6299,157,37,6493
Apache-SENTRY,1754,715,95,2564
RedHat-HAL,1556,84,31,1671
Apache-MSHARED,1166,1,1,1168
RedHat-ISPN,12966,558,104,13628
Apache-TRINIDAD,2531,18,12,2561
Apache-FOR,1168,68,15,1251
Apache-ARIES,2080,13,3,2096
Apache-JCLOUDS,1527,80,13,1620
Apache-GERONIMO,6207,448,89,6744
