Project,Domain,fixed,won't fix,not a problem,duplicate,invalid,later,resolved,abandoned,cannot reproduce,implemented,done,pending closed,not a bug,information provided,workaround,incomplete,delivered,won't do,works for me,auto closed,obsolete,can't do,duplicate ticket,feedback received,complete,works as designed,remind,rejected,out of date,duplicate issue,deferred,incomplete description,partially completed,explained,timed out,handled by support,incorrectly filed,answered,tracked elsewhere,spam,deployed,support request,resolved locally,unsolved mysteries,low engagement,staged,migrated to another its,unresolved,mirrororphan,resolved at apache,upstream,stop dots,will not implement,test pending,current release,next release,roadmap candidate,declined,canceled,sent to docs,bugzillaorphan,errata,parked,automatically closed,out of scope,sent to forums,known error,deprioritized,done-errata,gone away,community answered,Total
Apache-TOMEE,web development,2661,16,50,31,63,1,45,32,7,6,83,3,4,4,2,4,3,1,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3055
RedHat-ACM,devops and cloud,20,0,0,41,0,0,0,0,14,0,719,0,41,0,0,0,0,66,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908
Apache-SM,soa and middlewares,4222,328,19,78,11,0,0,1,19,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4684
Apache-CASSANDRA,data storage & processing,10767,801,927,1591,581,160,10,21,523,17,25,0,35,44,2,40,0,11,1,84,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15643
Spring-BATCH,data storage & processing,1100,172,0,97,89,0,0,0,29,0,5,0,0,0,0,3,0,43,0,0,0,0,0,0,644,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2239
RedHat-TRACING,devops and cloud,0,0,0,8,0,0,0,0,1,0,613,0,1,0,0,0,0,382,0,0,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031
Apache-AURORA,devops and cloud,1202,147,16,92,19,22,8,0,36,15,4,0,1,0,1,10,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1578
RedHat-JBWS,soa and middlewares,0,144,0,1,0,0,0,0,77,0,2929,0,0,0,0,0,0,13,0,0,24,0,1,0,0,0,0,121,425,122,29,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3906
Apache-AMBARI,data storage & processing,21967,158,104,553,263,12,26,15,85,53,61,57,20,11,4,9,1,20,3,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23428
Jira-JRACLOUD,content management,4376,8571,0,2044,425,0,0,0,382,0,154,0,314,0,0,59,0,2321,0,0,1505,0,0,0,0,0,0,0,0,0,0,0,0,0,1718,294,15,821,255,5,30,479,42,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23842
