Project,Domain,First Quantile,Mean,Third Quantile,Standard Deviation,Total Issue Count
Apache-TOMEE,web development,0.00,0.00,0.00,0.31,3737
RedHat-ACM,devops and cloud,0.00,0.00,0.00,0.62,2126
Apache-SM,soa and middlewares,0.00,0.00,0.00,0.23,4804
Apache-CASSANDRA,data storage & processing,0.00,0.00,0.00,1.24,18166
Spring-BATCH,data storage & processing,0.00,0.00,0.00,0.95,2598
RedHat-TRACING,devops and cloud,0.00,0.00,0.00,0.07,1882
Apache-AURORA,devops and cloud,0.00,0.00,0.00,0.40,1970
RedHat-JBWS,soa and middlewares,0.00,0.00,0.00,1.01,3948
Apache-AMBARI,data storage & processing,0.00,0.00,0.00,0.28,25566
Jira-JRACLOUD,content management,0.00,1.00,3.00,75.03,29658
Apache-BEAM,data storage & processing,0.00,0.00,0.00,0.68,14551
Apache-TEZ,data storage & processing,0.00,0.00,0.00,0.16,4460
RedHat-CRW,software development tools,0.00,0.00,0.00,0.18,3070
Apache-MNG,software development tools,0.00,0.00,0.00,6.27,6362
Apache-ZEPPELIN,data storage & processing,0.00,0.00,0.00,0.87,5878
Apache-KYLIN,data storage & processing,0.00,0.00,0.00,0.22,5316
Apache-SMX4,soa and middlewares,0.00,0.00,0.00,0.22,1905
Apache-DELTASPIKE,web development,0.00,0.00,0.00,0.26,1459
Spring-ROO,software development tools,0.00,0.00,0.00,6.50,3987
RedHat-TEIIDDES,data storage & processing,0.00,0.00,0.00,0.24,3099
Apache-AVRO,data storage & processing,0.00,0.00,0.00,1.29,3706
Apache-SOLR,content management,0.00,0.00,0.00,1.84,16520
Apache-PARQUET,data storage & processing,0.00,0.00,0.00,0.79,2237
Apache-CAY,data storage & processing,0.00,0.00,0.00,0.76,2789
Apache-FLUME,data storage & processing,0.00,0.00,0.00,0.71,3433
Apache-CONNECTORS,content management,0.00,0.00,0.00,0.24,1743
RedHat-UNDERTOW,web development,0.00,0.00,0.00,0.37,1989
Jira-JSDCLOUD,content management,0.00,1.00,6.00,64.71,8186
Jira-JSDSERVER,content management,0.00,1.00,4.00,54.82,8226
Jira-SRCTREE,software development tools,0.00,0.00,1.00,10.08,5491
Apache-PIG,data storage & processing,0.00,0.00,0.00,0.60,5356
Apache-HOP,data storage & processing,0.00,0.00,0.00,0.36,3145
RedHat-ERRAI,web development,0.00,0.00,0.00,0.41,1104
RedHat-OADP,devops and cloud,0.00,0.00,0.00,0.54,1002
Apache-WICKET,web development,0.00,0.00,0.00,0.70,7020
Apache-ORC,data storage & processing,0.00,0.00,0.00,0.27,1383
Apache-STRATOS,devops and cloud,0.00,0.00,0.00,0.11,1662
RedHat-ODC,software development tools,0.00,0.00,0.00,0.09,1998
JiraEcosystem-PL,software development tools,0.00,0.00,0.00,0.99,2889
Apache-TAVERNA,data storage & processing,0.00,0.00,0.00,0.09,1063
Apache-IGNITE,data storage & processing,0.00,0.00,0.00,0.32,18925
RedHat-HAC,devops and cloud,0.00,0.00,0.00,0.09,3012
Jira-BSERV,software development tools,0.00,0.00,2.00,30.25,8430
Spring-DATACMNS,data storage & processing,0.00,0.00,0.00,3.01,1781
Apache-FELIX,soa and middlewares,0.00,0.00,0.00,0.44,6493
Apache-SENTRY,data storage & processing,0.00,0.00,0.00,0.22,2564
RedHat-HAL,web development,0.00,0.00,0.00,0.20,1671
Apache-MSHARED,software development tools,0.00,0.00,0.00,0.85,1168
RedHat-ISPN,data storage & processing,0.00,0.00,0.00,0.45,13628
Apache-TRINIDAD,web development,0.00,0.00,0.00,0.90,2561
Apache-FOR,content management,0.00,0.00,0.00,0.29,1251
Apache-ARIES,soa and middlewares,0.00,0.00,0.00,0.72,2096
Apache-JCLOUDS,devops and cloud,0.00,0.00,0.00,0.79,1620
Apache-GERONIMO,web development,0.00,0.00,0.00,0.35,6744
RedHat-MODE,data storage & processing,0.00,0.00,0.00,0.61,2680
Apache-HTTPCLIENT,soa and middlewares,0.00,0.00,0.00,0.53,2179
Apache-HDDS,data storage & processing,0.00,0.00,0.00,0.12,8059
Apache-TOMAHAWK,web development,0.00,0.00,0.00,0.89,1683
RedHat-SWITCHYARD,soa and middlewares,0.00,0.00,0.00,0.58,3015
Apache-FOP,content management,0.00,0.00,0.00,0.50,3117
