Project,Domain,First Quantile,Mean,Third Quantile,Standard Deviation,Total Issue Count
Apache-TOMEE,web development,1.00,1.00,2.00,0.83,3737
RedHat-ACM,devops and cloud,0.00,1.00,2.00,1.94,2126
Apache-SM,soa and middlewares,0.00,1.00,1.00,0.75,4804
Apache-CASSANDRA,data storage & processing,1.00,2.00,4.00,4.38,18166
Spring-BATCH,data storage & processing,0.00,1.00,2.00,1.61,2598
RedHat-TRACING,devops and cloud,1.00,1.00,2.00,0.91,1882
Apache-AURORA,devops and cloud,1.00,2.00,3.00,1.51,1970
RedHat-JBWS,soa and middlewares,0.00,0.00,1.00,1.03,3948
Apache-AMBARI,data storage & processing,2.00,2.00,3.00,1.05,25566
Jira-JRACLOUD,content management,2.00,3.00,6.00,30.11,29658
Apache-BEAM,data storage & processing,1.00,2.00,3.00,1.85,14551
Apache-TEZ,data storage & processing,2.00,2.00,3.00,1.61,4460
RedHat-CRW,software development tools,1.00,2.00,3.00,1.78,3070
Apache-MNG,software development tools,0.00,1.00,3.00,5.58,6362
Apache-ZEPPELIN,data storage & processing,2.00,2.00,3.00,1.80,5878
Apache-KYLIN,data storage & processing,1.00,2.00,3.00,1.40,5316
Apache-SMX4,soa and middlewares,0.00,0.00,1.00,0.89,1905
Apache-DELTASPIKE,web development,1.00,2.00,2.00,1.24,1459
Spring-ROO,software development tools,0.00,0.00,1.00,4.17,3987
RedHat-TEIIDDES,data storage & processing,0.00,1.00,2.00,1.47,3099
Apache-AVRO,data storage & processing,1.00,2.00,3.00,2.85,3706
Apache-SOLR,content management,1.00,2.00,4.00,3.56,16520
Apache-PARQUET,data storage & processing,2.00,2.00,3.00,2.43,2237
Apache-CAY,data storage & processing,0.00,1.00,1.00,0.97,2789
Apache-FLUME,data storage & processing,1.00,2.00,4.00,2.38,3433
Apache-CONNECTORS,content management,1.00,1.00,2.00,1.10,1743
RedHat-UNDERTOW,web development,1.00,1.00,2.00,1.40,1989
Jira-JSDCLOUD,content management,2.00,4.00,8.00,35.58,8186
Jira-JSDSERVER,content management,1.00,3.00,6.00,29.12,8226
Jira-SRCTREE,software development tools,1.00,2.00,3.00,5.93,5491
Apache-PIG,data storage & processing,0.00,2.00,3.00,2.39,5356
Apache-HOP,data storage & processing,1.00,1.00,1.00,0.48,3145
RedHat-ERRAI,web development,1.00,1.00,2.00,0.93,1104
RedHat-OADP,devops and cloud,1.00,1.00,3.00,2.16,1002
Apache-WICKET,web development,0.00,1.00,2.00,1.50,7020
Apache-ORC,data storage & processing,1.00,1.00,2.00,1.58,1383
Apache-STRATOS,devops and cloud,1.00,1.00,2.00,0.80,1662
RedHat-ODC,software development tools,1.00,1.00,2.00,1.56,1998
JiraEcosystem-PL,software development tools,0.00,0.00,0.00,1.11,2889
Apache-TAVERNA,data storage & processing,0.00,0.00,1.00,0.86,1063
Apache-IGNITE,data storage & processing,1.00,2.00,3.00,1.50,18925
RedHat-HAC,devops and cloud,1.00,1.00,2.00,1.68,3012
Jira-BSERV,software development tools,2.00,3.00,5.00,16.23,8430
Spring-DATACMNS,data storage & processing,1.00,1.00,2.00,2.65,1781
Apache-FELIX,soa and middlewares,0.00,1.00,2.00,1.23,6493
Apache-SENTRY,data storage & processing,1.00,2.00,3.00,1.25,2564
RedHat-HAL,web development,1.00,1.00,2.00,1.04,1671
Apache-MSHARED,software development tools,1.00,2.00,2.00,1.46,1168
RedHat-ISPN,data storage & processing,1.00,1.00,2.00,1.26,13628
Apache-TRINIDAD,web development,0.00,0.00,1.00,0.98,2561
Apache-FOR,content management,1.00,1.00,1.00,0.57,1251
Apache-ARIES,soa and middlewares,0.00,1.00,2.00,1.45,2096
Apache-JCLOUDS,devops and cloud,1.00,2.00,3.00,1.54,1620
Apache-GERONIMO,web development,0.00,0.00,0.00,0.59,6744
RedHat-MODE,data storage & processing,0.00,1.00,2.00,1.35,2680
